Crash ID,Degree of crash - detailed,Reporting year,Year of crash,Month of crash,Day of week of crash,Two-hour intervals,Street of crash,Street type,Town,Route no.,School zone location,School zone active,Type of location,Latitude,Longitude,LGA,Urbanisation,Conurbation 1,Alignment,Street lighting,Road surface,Surface condition,Weather,Natural lighting,Signals operation,Other traffic control,Speed limit,Road classification,RUM - code,DCA - code,First impact type,Key TU type,Other TU type,No. of traffic units involved,No. killed,No. seriously injured,No. moderately injured,No. minor-other injured
1246959,3,2020,2020,9,5,5,125,27,32,144,0,1,7,-32.768748,152.074518,57,1,0,1,3,0,0,0,2,0,0,100,2,782,985,5,5,40,1,0,0,0,0
1246963,3,2020,2020,9,3,5,77,27,87,100,0,1,9,-34.486056,150.414781,78,2,1,1,3,0,0,0,2,0,7,60,2,14295,14295,3,5,36,2,0,0,0,0
1246965,3,2020,2020,9,5,6,485,27,232,769,0,1,10,-33.693599,150.925067,71,0,2,1,3,0,0,0,2,2,7,80,2,1391,1391,1,5,5,2,0,0,0,0
1246970,3,2020,2020,11,0,8,346,17,24,332,0,1,1,-28.811013,153.367566,39,2,1,0,3,0,0,0,2,0,7,80,2,14295,14295,3,10,0,2,0,0,0,0
1246972,3,2020,2020,9,6,8,2126,17,27,2149,0,1,2,-33.719616,150.447521,8,2,2,1,3,0,0,0,2,0,7,60,2,14295,14295,3,30,5,2,0,0,0,0
1246973,3,2020,2020,9,4,9,2209,17,115,2205,0,1,9,-33.915489,151.174542,32,0,2,1,3,0,0,0,2,2,7,60,2,1391,1391,1,30,0,2,0,0,0,0
1246974,3,2020,2020,10,0,0,3371,17,37,3342,0,1,2,-29.464811,153.209901,18,1,0,1,3,0,0,0,0,0,7,110,2,945,945,5,9,40,1,0,0,0,0
1246977,3,2020,2020,9,5,11,348,27,23,88,0,1,9,-33.717416,150.695816,55,0,2,1,3,0,3,4,0,0,7,60,2,5929,5929,1,0,0,2,0,0,0,0
1246979,3,2020,2020,11,5,7,346,17,87,332,0,1,7,-28.811128,153.302404,39,2,1,1,3,0,0,0,2,0,0,60,2,1383,1383,1,29,0,2,0,0,0,0
1246981,3,2020,2020,9,3,7,11,27,18,34609,0,1,10,-33.823544,151.108511,61,0,2,1,3,0,0,0,2,2,7,50,0,1981,1981,4,5,36,2,0,0,0,0
1246984,3,2020,2020,9,6,10,1,27,2,34609,0,1,9,-33.674032,149.455778,3,1,0,0,3,2,3,4,0,0,7,100,0,4552,5151,8,10,40,1,0,0,0,0
1246987,3,2020,2020,9,0,8,22,31,65,34609,0,1,1,-33.802079,150.956667,21,0,2,1,3,0,0,0,2,0,7,50,0,144,144,1,9,5,2,0,0,0,0
1246988,3,2020,2020,9,3,6,79,10,128,231,0,1,1,-33.431163,151.316214,16,2,2,1,3,0,0,0,2,0,7,60,2,14295,14295,3,0,13,4,0,0,0,0
1246990,3,2020,2020,9,1,8,232,36,109,331,0,1,10,-33.955077,150.864255,41,0,2,1,3,0,0,0,2,3,7,70,2,926,926,4,5,12,2,0,0,0,0
1246993,3,2020,2020,9,0,9,3371,17,149,3342,0,1,7,-33.345131,151.369904,16,2,2,0,3,0,0,0,3,0,0,60,2,1391,1391,1,5,5,2,0,0,0,0
1247004,3,2020,2020,10,6,2,4,31,219,34609,0,1,9,-32.896091,151.68153,48,0,2,1,2,0,0,0,0,0,15,50,0,6545,6545,4,5,5,5,0,0,0,0
1247016,3,2020,2020,9,1,4,3371,17,100,3342,0,1,10,-33.805458,151.179265,38,0,2,1,1,0,0,3,2,2,7,60,2,623,623,3,5,5,2,0,0,0,0
1247033,3,2020,2020,9,0,4,100,31,157,38,0,1,10,-33.803199,151.003199,54,0,2,1,1,0,0,0,2,2,7,60,1,5929,5929,1,5,5,2,0,0,0,0
1247035,3,2020,2020,9,3,3,3371,17,35,3342,0,1,2,-29.926778,153.079345,18,1,0,0,0,0,0,0,2,0,7,110,2,2585,4009,8,34,40,1,0,0,0,0
1247042,3,2020,2020,9,2,8,2,27,3,34609,0,1,1,-35.939215,146.465334,51,1,0,1,0,2,0,0,2,0,7,100,0,4026,4026,8,0,40,1,0,0,0,0
1247078,3,2020,2020,10,1,0,163,27,226,165,0,1,9,-33.765013,150.822168,7,0,2,1,2,0,0,0,0,0,0,60,1,3775,3775,0,30,0,2,0,0,0,0
1247092,3,2020,2020,11,3,2,2,27,87,34609,0,1,1,-34.051938,151.14599,68,0,2,1,2,0,0,0,1,0,7,50,0,4026,4026,1,5,36,3,0,0,0,0
1247101,3,2020,2020,10,3,0,387,27,290,331,0,1,9,-33.950037,151.126416,4,0,2,1,2,0,3,4,0,2,7,60,2,2852,2852,4,5,0,3,0,0,0,0
1247109,3,2020,2020,9,0,0,44,31,160,260,0,1,9,-33.107957,151.488883,37,0,2,1,2,0,3,4,0,2,7,50,2,4552,985,8,5,40,1,0,0,0,0
1247114,3,2020,2020,9,4,10,67,10,13,34,0,1,1,-34.362095,150.496536,78,2,1,1,0,0,0,0,0,0,7,80,1,9859,9859,8,30,40,1,0,0,0,0
1247134,3,2020,2020,10,1,9,19,27,58,34609,0,1,1,-34.051566,151.130845,68,0,2,1,2,0,3,4,3,0,7,50,0,9859,9859,1,10,5,2,0,0,0,0
1247136,3,2020,2020,9,6,10,5,31,48,34609,0,1,1,-33.920598,147.208423,51,2,1,1,3,0,0,3,0,0,7,50,0,9859,9859,8,5,40,1,0,0,0,0
1247141,3,2020,2020,9,5,7,5,27,5,34609,0,1,1,-28.560268,153.473364,10,1,0,1,3,0,0,0,2,0,7,100,0,84,84,6,0,40,1,0,0,0,0
1247142,3,2020,2020,9,3,8,2261,17,523,2252,0,1,2,-33.926758,150.917882,41,0,2,1,3,0,0,0,2,0,7,60,2,1383,1383,1,5,5,3,0,0,0,0
1247143,3,2020,2020,9,6,3,3371,17,147,3342,0,1,2,-33.745874,151.144261,36,0,2,0,3,0,0,0,2,0,7,60,2,1391,1391,1,3,36,2,0,0,0,0
1247144,3,2020,2020,9,3,5,103,27,438,563,0,1,9,-33.843221,151.043505,21,0,2,1,3,0,0,0,2,2,7,70,2,1391,1391,1,5,5,2,0,0,0,0
